Product,Size,Connectivity,Storage,Color,Glass,ApplePartNumber,JAN
iPad Pro (M5),"11""",Wi‑Fi,2TB,シルバー,Nano-textureガラス,MDWX4J/A,4549995616712
iPad Pro (M5),"11""",Wi‑Fi + Cellular,256GB,スペースブラック,標準ガラス,ME2N4J/A,4549995616842
iPad Pro (M5),"11""",Wi‑Fi + Cellular,256GB,シルバー,標準ガラス,ME2P4J/A,4549995616880
iPad Pro (M5),"11""",Wi‑Fi + Cellular,512GB,スペースブラック,標準ガラス,ME2Q4J/A,4549995616927
iPad Pro (M5),"11""",Wi‑Fi + Cellular,512GB,シルバー,標準ガラス,ME2T4J/A,4549995616965
iPad Pro (M5),"11""",Wi‑Fi + Cellular,1TB,スペースブラック,標準ガラス,ME2U4J/A,4549995617009
iPad Pro (M5),"11""",Wi‑Fi + Cellular,1TB,シルバー,標準ガラス,ME2V4J/A,4549995617047
iPad Pro (M5),"11""",Wi‑Fi + Cellular,2TB,スペースブラック,標準ガラス,ME2Y4J/A,4549995617160
iPad Pro (M5),"11""",Wi‑Fi + Cellular,2TB,シルバー,標準ガラス,ME6A4J/A,4549995617207
iPad Pro (M5),"11""",Wi‑Fi + Cellular,1TB,スペースブラック,Nano-textureガラス,ME2W4J/A,4549995617085
iPad Pro (M5),"11""",Wi‑Fi + Cellular,1TB,シルバー,Nano-textureガラス,ME2X4J/A,4549995617122
iPad Pro (M5),"11""",Wi‑Fi + Cellular,2TB,スペースブラック,Nano-textureガラス,ME6C4J/A,4549995617245
iPad Pro (M5),"11""",Wi‑Fi + Cellular,2TB,シルバー,Nano-textureガラス,ME6D4J/A,4549995617283
iPad Pro (M5),"13""",Wi‑Fi,256GB,スペースブラック,標準ガラス,MDYJ4J/A,4549995616729
iPad Pro (M5),"13""",Wi‑Fi,256GB,シルバー,標準ガラス,MDYK4J/A,4549995616736
iPad Pro (M5),"13""",Wi‑Fi,512GB,スペースブラック,標準ガラス,MDYL4J/A,4549995616743
iPad Pro (M5),"13""",Wi‑Fi,512GB,シルバー,標準ガラス,MDYM4J/A,4549995616750
iPad Pro (M5),"13""",Wi‑Fi,1TB,スペースブラック,標準ガラス,MDYN4J/A,4549995616767
iPad Pro (M5),"13""",Wi‑Fi,1TB,シルバー,標準ガラス,MDYP4J/A,4549995616774
iPad Pro (M5),"13""",Wi‑Fi,2TB,スペースブラック,標準ガラス,MDYT4J/A,4549995616804
iPad Pro (M5),"13""",Wi‑Fi,2TB,シルバー,標準ガラス,MDYU4J/A,4549995616811
iPad Pro (M5),"13""",Wi‑Fi,1TB,スペースブラック,Nano-textureガラス,MDYQ4J/A,4549995616781
iPad Pro (M5),"13""",Wi‑Fi,1TB,シルバー,Nano-textureガラス,MDYR4J/A,4549995616798
iPad Pro (M5),"13""",Wi‑Fi,2TB,スペースブラック,Nano-textureガラス,MDYV4J/A,4549995616828
iPad Pro (M5),"13""",Wi‑Fi,2TB,シルバー,Nano-textureガラス,MDYW4J/A,4549995616835
iPad Pro (M5),"13""",Wi‑Fi + Cellular,256GB,スペースブラック,標準ガラス,ME7W4J/A,4549995617320
iPad Pro (M5),"13""",Wi‑Fi + Cellular,256GB,シルバー,標準ガラス,ME7X4J/A,4549995617368
iPad Pro (M5),"13""",Wi‑Fi + Cellular,512GB,スペースブラック,標準ガラス,ME7Y4J/A,4549995617405
iPad Pro (M5),"13""",Wi‑Fi + Cellular,512GB,シルバー,標準ガラス,ME8C4J/A,4549995617443
iPad Pro (M5),"13""",Wi‑Fi + Cellular,1TB,スペースブラック,標準ガラス,ME8D4J/A,4549995617481
iPad Pro (M5),"13""",Wi‑Fi + Cellular,1TB,シルバー,標準ガラス,ME8F4J/A,4549995617528
iPad Pro (M5),"13""",Wi‑Fi + Cellular,2TB,スペースブラック,標準ガラス,ME8J4J/A,4549995617641
iPad Pro (M5),"13""",Wi‑Fi + Cellular,2TB,シルバー,標準ガラス,ME8K4J/A,4549995617689
iPad Pro (M5),"13""",Wi‑Fi + Cellular,1TB,スペースブラック,Nano-textureガラス,ME8G4J/A,4549995617566
iPad Pro (M5),"13""",Wi‑Fi + Cellular,1TB,シルバー,Nano-textureガラス,ME8H4J/A,4549995617603
iPad Pro (M5),"13""",Wi‑Fi + Cellular,2TB,スペースブラック,Nano-textureガラス,ME8M4J/A,4549995617726
iPad Pro (M5),"13""",Wi‑Fi + Cellular,2TB,シルバー,Nano-textureガラス,ME8N4J/A,4549995617764
